date,forecast,lower_bound,upper_bound
2024-12-31,138.24635007610283,121.53332988621128,155.45521950914176
2025-01-01,133.89477253702478,117.0055239401094,149.89974518588392
2025-01-02,134.08809987360084,117.6021524200774,150.74825387975437
2025-01-03,134.63473183814853,117.40491624584531,150.05919612162467
2025-01-04,112.89856062462064,96.5870829935606,129.46133675137926
2025-01-05,112.24448601180076,95.41382634971937,129.09445449635365
2025-01-06,131.6149732169465,115.41289163115519,147.82915361394777
2025-01-07,131.3683967891522,114.37657998993468,148.09776010407293
2025-01-08,127.87835978351967,110.67107775576176,143.35060310356462
2025-01-09,128.8992118672147,111.73381523653715,145.86701211711454
2025-01-10,130.2287144625626,112.27298980848313,146.97530823692935
2025-01-11,109.22187819090497,92.79302824045386,126.28445385146836
2025-01-12,109.23658824256397,92.18230432200095,126.34395769293651
2025-01-13,129.21022294373645,110.67911800468268,145.88389176925438
2025-01-14,129.49800868774125,112.95530721301596,145.70846664574537
2025-01-15,126.47230158183302,110.36420109961884,143.93335784787757
2025-01-16,127.88802179938592,111.39639815252933,144.4928604015623
2025-01-17,129.54519222714046,113.68173985917069,145.87298747217042
2025-01-18,108.80261119451418,92.34900362072304,125.74819827309331
2025-01-19,109.02328033513284,92.6138570846057,125.88794029381901
2025-01-20,129.15079902321864,112.84514516386041,145.94057413141428
2025-01-21,129.54747529108994,113.14813299843905,145.45882227824154
2025-01-22,126.59335069958242,110.09599010203443,143.11891010958914
2025-01-23,128.05137245724944,111.49223366581661,144.43644949232734
2025-01-24,129.72967166588538,114.05122026759362,146.2812915028299
2025-01-25,108.99498455908665,93.59872288142358,125.08742573758207
2025-01-26,109.21784446203631,92.03413597716097,126.28061942426321
2025-01-27,129.34876202117553,112.75328670414142,147.30499274589963
2025-01-28,129.7561489820537,114.06844930924503,145.58308409661697
2025-01-29,126.82518749575512,110.26496216874557,143.14580327616454
